Row Num,Season,Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,PL,Open OU,,Close OU,,MOD,HOME TEAM,HOME_1ST,HOME_2ND,HOME_3RD,HOME_FINAL,HOME_OPEN,HOME_CLOSE,HOME_PL,HOME_OU,HOME_OU_ODDS,HOME_CLOSE_OU,HOME_CLOSE_OU_ODDS
43,2017/2018,1007,63,V,Buffalo,0,2,1,3,107,105,+1.5(-290),5.5,100,5.5,-110,1,NYIslanders,1,3,2,6,-127,-125,-1.5(+230),5.5,-120,5.5,-110
44,2017/2018,1007,64,H,NYIslanders,1,3,2,6,-127,-125,-1.5(+230),5.5,-120,5.5,-110,0,,,,,,,,,,,,
45,2017/2018,1007,65,V,Minnesota,2,1,1,4,102,108,+1.5(-265),5.5,110,5.5,115,1,Carolina,1,1,2,5,-122,-128,-1.5(+215),5.5,-130,5.5,-135
46,2017/2018,1007,66,H,Carolina,1,1,2,5,-122,-128,-1.5(+215),5.5,-130,5.5,-135,0,,,,,,,,,,,,
47,2017/2018,1007,67,V,Dallas,0,0,2,2,107,126,+1.5(-260),5.5,-110,5.5,-120,1,St.Louis,3,0,1,4,-127,-146,-1.5(+210),5.5,-110,5.5,100
48,2017/2018,1007,68,H,St.Louis,3,0,1,4,-127,-146,-1.5(+210),5.5,-110,5.5,100,0,,,,,,,,,,,,
49,2017/2018,1007,69,V,Columbus,0,1,0,1,123,135,+1.5(-230),5.5,-110,5.5,-115,1,Chicago,2,2,1,5,-143,-155,-1.5(+190),5.5,-110,5.5,-105
50,2017/2018,1007,70,H,Chicago,2,2,1,5,-143,-155,-1.5(+190),5.5,-110,5.5,-105,0,,,,,,,,,,,,
51,2017/2018,1007,71,V,Vegas,0,0,1,2,140,160,+1.5(-185),5.5,-110,5.5,-120,1,Arizona,1,0,0,1,-160,-180,-1.5(+165),5.5,-110,5.5,100
52,2017/2018,1007,72,H,Arizona,1,0,0,1,-160,-180,-1.5(+165),5.5,-110,5.5,100,0,,,,,,,,,,,,
53,2017/2018,1007,73,V,Winnipeg,3,0,0,3,122,105,+1.5(-291),5.5,-120,5.5,-125,1,Calgary,1,4,1,6,-142,-125,-1.5(+231),5.5,100,5.5,105
54,2017/2018,1007,74,H,Calgary,1,4,1,6,-142,-125,-1.5(+231),5.5,100,5.5,105,0,,,,,,,,,,,,
55,2017/2018,1007,75,V,Philadelphia,1,1,0,3,113,108,+1.5(-260),5.5,115,5.5,105,1,Anaheim,1,0,1,2,-133,-128,-1.5(+210),5.5,-135,5.5,-125
56,2017/2018,1007,76,H,Anaheim,1,0,1,2,-133,-128,-1.5(+210),5.5,-135,5.5,-125,0,,,,,,,,,,,,
57,2017/2018,1007,77,V,Edmonton,1,0,1,2,-185,-161,-1.5(+175),5,-130,5.5,105,1,Vancouver,2,1,0,3,165,141,+1.5(-205),5,110,5.5,-125
58,2017/2018,1007,78,H,Vancouver,2,1,0,3,165,141,+1.5(-205),5,110,5.5,-125,0,,,,,,,,,,,,
59,2017/2018,1007,79,V,LosAngeles,2,2,0,4,108,122,+1.5(-260),5,-110,5,-120,1,SanJose,1,0,0,1,-128,-142,-1.5(+210),5,-110,5,100
60,2017/2018,1007,80,H,SanJose,1,0,0,1,-128,-142,-1.5(+210),5,-110,5,100,0,,,,,,,,,,,,
61,2017/2018,1008,1,V,Montreal,0,0,0,0,100,105,+1.5(-295),5,-135,5.5,105,1,NYRangers,1,0,1,2,-120,-125,-1.5(+235),5,115,5.5,-125
62,2017/2018,1008,2,H,NYRangers,1,0,1,2,-120,-125,-1.5(+235),5,115,5.5,-125,0,,,,,,,,,,,,
63,2017/2018,1009,51,V,Colorado,2,0,2,4,175,170,+1.5(-180),5.5,-105,5.5,105,1,Boston,0,0,0,0,-205,-200,-1.5(+160),5.5,-115,5.5,-125
64,2017/2018,1009,52,H,Boston,0,0,0,0,-205,-200,-1.5(+160),5.5,-115,5.5,-125,0,,,,,,,,,,,,
65,2017/2018,1009,53,V,St.Louis,0,2,0,3,-111,110,+1.5(-275),5.5,105,5.5,-110,1,NYIslanders,0,0,2,2,-109,-130,-1.5(+225),5.5,-125,5.5,-110
66,2017/2018,1009,54,H,NYIslanders,0,0,2,2,-109,-130,-1.5(+225),5.5,-125,5.5,-110,0,,,,,,,,,,,,
67,2017/2018,1009,55,V,NewJersey,2,4,0,6,107,117,+1.5(-245),5,-140,5.5,105,1,Buffalo,0,1,1,2,-127,-137,-1.5(+205),5,120,5.5,-125
68,2017/2018,1009,56,H,Buffalo,0,1,1,2,-127,-137,-1.5(+205),5,120,5.5,-125,0,,,,,,,,,,,,
69,2017/2018,1009,57,V,Chicago,2,0,1,3,123,143,+1.5(-205),6.5,-110,6.5,-110,1,Toronto,0,1,2,4,-143,-163,-1.5(+175),6.5,-110,6.5,-110
70,2017/2018,1009,58,H,Toronto,0,1,2,4,-143,-163,-1.5(+175),6.5,-110,6.5,-110,0,,,,,,,,,,,,
71,2017/2018,1009,59,V,Washington,2,1,0,3,105,-101,+1.5(-300),5.5,-110,5.5,-120,1,TampaBay,0,2,1,4,-125,-119,-1.5(+240),5.5,-110,5.5,100
72,2017/2018,1009,60,H,TampaBay,0,2,1,4,-125,-119,-1.5(+240),5.5,-110,5.5,100,0,,,,,,,,,,,,
73,2017/2018,1009,61,V,Winnipeg,2,2,1,5,160,140,+1.5(-185),5.5,-130,6,-120,1,Edmonton,0,2,0,2,-180,-160,-1.5(+165),5.5,110,6,100
74,2017/2018,1009,62,H,Edmonton,0,2,0,2,-180,-160,-1.5(+165),5.5,110,6,100,0,,,,,,,,,,,,
75,2017/2018,1009,63,V,Calgary,0,1,1,2,110,104,+1.5(-290),5.5,105,5.5,100,1,Anaheim,0,0,0,0,-130,-124,-1.5(+230),5.5,-125,5.5,-120
76,2017/2018,1009,64,H,Anaheim,0,0,0,0,-130,-124,-1.5(+230),5.5,-125,5.5,-120,0,,,,,,,,,,,,
77,2017/2018,1010,1,V,St.Louis,2,0,1,3,125,135,+1.5(-215),5.5,-110,5.5,-120,1,NYRangers,1,0,0,1,-145,-155,-1.5(+185),5.5,-110,5.5,100
78,2017/2018,1010,2,H,NYRangers,1,0,0,1,-145,-155,-1.5(+185),5.5,-110,5.5,100,0,,,,,,,,,,,,
79,2017/2018,1010,3,V,Columbus,0,0,1,2,102,100,+1.5(-305),5.5,105,5.5,-110,1,Carolina,0,0,1,1,-122,-120,-1.5(+245),5.5,-125,5.5,-110
80,2017/2018,1010,4,H,Carolina,0,0,1,1,-122,-120,-1.5(+245),5.5,-125,5.5,-110,0,,,,,,,,,,,,
81,2017/2018,1010,5,V,Chicago,2,1,0,3,115,120,+1.5(-245),5.5,100,5.5,-105,1,Montreal,1,0,0,1,-135,-140,-1.5(+205),5.5,-120,5.5,-115
82,2017/2018,1010,6,H,Montreal,1,0,0,1,-135,-140,-1.5(+205),5.5,-120,5.5,-115,0,,,,,,,,,,,,
83,2017/2018,1010,7,V,Philadelphia,0,3,2,5,140,109,+1.5(-270),5.5,100,5.5,-105,1,Nashville,1,2,3,6,-160,-129,-1.5(+220),5.5,-120,5.5,-115
84,2017/2018,1010,8,H,Nashville,1,2,3,6,-160,-129,-1.5(+220),5.5,-120,5.5,-115,0,,,,,,,,,,,,
85,2017/2018,1010,9,V,Detroit,0,1,1,2,162,160,+1.5(-185),5.5,-115,5.5,-120,1,Dallas,2,1,1,4,-182,-180,-1.5(+165),5.5,-105,5.5,100
86,2017/2018,1010,10,H,Dallas,2,1,1,4,-182,-180,-1.5(+165),5.5,-105,5.5,100,0,,,,,,,,,,,,
87,2017/2018,1010,11,V,Ottawa,1,0,1,3,-102,-109,+1.5(-330),5,-135,5.5,120,1,Vancouver,1,1,0,2,-118,-111,-1.5(+270),5,115,5.5,-140
88,2017/2018,1010,12,H,Vancouver,1,1,0,2,-118,-111,-1.5(+270),5,115,5.5,-140,0,,,,,,,,,,,,
89,2017/2018,1010,13,V,Arizona,1,0,1,2,-108,107,+1.5(-290),5.5,110,5.5,105,1,Vegas,4,1,0,5,-112,-127,-1.5(+230),5.5,-130,5.5,-125
90,2017/2018,1010,14,H,Vegas,4,1,0,5,-112,-127,-1.5(+230),5.5,-130,5.5,-125,0,,,,,,,,,,,,
91,2017/2018,1011,51,V,NewJersey,2,2,2,6,171,170,+1.5(-180),6,-105,6,-110,1,Toronto,2,0,1,3,-201,-200,-1.5(+160),6,-115,6,-110
92,2017/2018,1011,52,H,Toronto,2,0,1,3,-201,-200,-1.5(+160),6,-115,6,-110,0,,,,,,,,,,,,
93,2017/2018,1011,53,V,Pittsburgh,1,1,1,3,111,115,+1.5(-260),6,-110,6,-109,1,Washington,0,1,1,2,-131,-135,-1.5(+210),6,-110,6,-111
94,2017/2018,1011,54,H,Washington,0,1,1,2,-131,-135,-1.5(+210),6,-110,6,-111,0,,,,,,,,,,,,
95,2017/2018,1011,55,V,Boston,1,0,2,3,-133,-120,-1.5(+226),5.5,105,5.5,105,1,Colorado,1,3,2,6,113,100,+1.5(-275),5.5,-125,5.5,-125
96,2017/2018,1011,56,H,Colorado,1,3,2,6,113,100,+1.5(-275),5.5,-125,5.5,-125,0,,,,,,,,,,,,
97,2017/2018,1011,57,V,NYIslanders,1,0,1,2,122,112,+1.5(-260),5.5,100,5.5,-110,1,Anaheim,1,1,1,3,-142,-132,-1.5(+215),5.5,-120,5.5,-110
98,2017/2018,1011,58,H,Anaheim,1,1,1,3,-142,-132,-1.5(+215),5.5,-120,5.5,-110,0,,,,,,,,,,,,
99,2017/2018,1011,59,V,Calgary,2,0,1,4,108,135,+1.5(-235),5.5,115,5,-123,1,LosAngeles,0,1,2,3,-128,-155,-1.5(+195),5.5,-135,5,103
100,2017/2018,1011,60,H,LosAngeles,0,1,2,3,-128,-155,-1.5(+195),5.5,-135,5,103,0,,,,,,,,,,,,
101,2017/2018,1012,1,V,Pittsburgh,1,2,1,4,130,135,+1.5(-230),6,-120,6.5,-105,1,TampaBay,2,3,0,5,-150,-155,-1.5(+190),6,100,6.5,-115
102,2017/2018,1012,2,H,TampaBay,2,3,0,5,-150,-155,-1.5(+190),6,100,6.5,-115,0,,,,,,,,,,,,
103,2017/2018,1012,3,V,St.Louis,0,1,1,2,-102,111,+1.5(-270),5.5,-105,5.5,-105,1,Florida,0,3,2,5,-118,-131,-1.5(+222),5.5,-115,5.5,-115
104,2017/2018,1012,4,H,Florida,0,3,2,5,-118,-131,-1.5(+222),5.5,-115,5.5,-115,0,,,,,,,,,,,,
105,2017/2018,1012,5,V,Dallas,1,0,0,1,107,110,+1.5(-280),5.5,-130,6,-110,1,Nashville,0,2,2,4,-127,-130,-1.5(+230),5.5,110,6,-110
106,2017/2018,1012,6,H,Nashville,0,2,2,4,-127,-130,-1.5(+230),5.5,110,6,-110,0,,,,,,,,,,,,
107,2017/2018,1012,7,V,Minnesota,0,1,4,5,130,107,+1.5(-260),5.5,-110,5.5,-110,1,Chicago,0,0,2,2,-150,-127,-1.5(+210),5.5,-110,5.5,-110
108,2017/2018,1012,8,H,Chicago,0,0,2,2,-150,-127,-1.5(+210),5.5,-110,5.5,-110,0,,,,,,,,,,,,
109,2017/2018,1012,9,V,Detroit,0,2,2,4,-105,101,+1.5(-290),5.5,100,5.5,-105,1,Arizona,0,2,0,2,-115,-121,-1.5(+237),5.5,-120,5.5,-115
110,2017/2018,1012,10,H,Arizona,0,2,0,2,-115,-121,-1.5(+237),5.5,-120,5.5,-115,0,,,,,,,,,,,,
111,2017/2018,1012,11,V,Winnipeg,1,2,1,4,-128,-122,-1.5(+230),5.5,-125,5.5,-125,1,Vancouver,1,0,1,2,108,102,+1.5(-290),5.5,105,5.5,105
112,2017/2018,1012,12,H,Vancouver,1,0,1,2,108,102,+1.5(-290),5.5,105,5.5,105,0,,,,,,,,,,,,
113,2017/2018,1012,13,V,Buffalo,1,1,0,2,150,152,+1.5(-200),5.5,100,5.5,-105,1,SanJose,2,1,0,3,-170,-172,-1.5(+170),5.5,-120,5.5,-115
114,2017/2018,1012,14,H,SanJose,2,1,0,3,-170,-172,-1.5(+170),5.5,-120,5.5,-115,0,,,,,,,,,,,,
115,2017/2018,1013,51,V,NYRangers,1,0,0,1,125,123,+1.5(-230),5.5,-105,5.5,-105,1,Columbus,0,1,2,3,-145,-143,-1.5(+190),5.5,-115,5.5,-115
116,2017/2018,1013,52,H,Columbus,0,1,2,3,-145,-143,-1.5(+190),5.5,-115,5.5,-115,0,,,,,,,,,,,,
117,2017/2018,1013,53,V,Washington,1,2,2,5,-143,-142,-1.5(+205),5.5,-115,5.5,105,1,NewJersey,0,1,1,2,123,122,+1.5(-245),5.5,-105,5.5,-125
118,2017/2018,1013,54,H,NewJersey,0,1,1,2,123,122,+1.5(-245),5.5,-105,5.5,-125,0,,,,,,,,,,,,
119,2017/2018,1013,55,V,Ottawa,1,1,4,6,125,127,+1.5(-230),5.5,-125,5.5,100,1,Calgary,0,0,0,0,-145,-147,-1.5(+190),5.5,105,5.5,-120
120,2017/2018,1013,56,H,Calgary,0,0,0,0,-145,-147,-1.5(+190),5.5,105,5.5,-120,0,,,,,,,,,,,,
121,2017/2018,1013,57,V,Anaheim,0,0,1,1,-120,-119,-1.5(+240),5.5,-110,5.5,100,1,Colorado,1,0,2,3,100,-101,+1.5(-300),5.5,-110,5.5,-120
122,2017/2018,1013,58,H,Colorado,1,0,2,3,100,-101,+1.5(-300),5.5,-110,5.5,-120,0,,,,,,,,,,,,
123,2017/2018,1013,59,V,Detroit,1,1,4,6,110,120,+1.5(-245),5.5,-110,5.5,110,1,Vegas,0,3,0,3,-130,-140,-1.5(+205),5.5,-110,5.5,-130
124,2017/2018,1013,60,H,Vegas,0,3,0,3,-130,-140,-1.5(+205),5.5,-110,5.5,-130,0,,,,,,,,,,,,
125,2017/2018,1014,1,V,Florida,0,2,1,3,165,145,+1.5(-205),5.5,-130,5.5,-135,1,Pittsburgh,1,2,1,4,-185,-165,-1.5(+175),5.5,110,5.5,115
126,2017/2018,1014,2,H,Pittsburgh,1,2,1,4,-185,-165,-1.5(+175),5.5,110,5.5,115,0,,,,,,,,,,,,
127,2017/2018,1014,3,V,Carolina,1,0,0,1,115,-105,+1.5(-300),6,-105,5.5,-125,1,Winnipeg,1,0,1,2,-135,-115,-1.5(+240),6,-115,5.5,105
128,2017/2018,1014,4,H,Winnipeg,1,0,1,2,-135,-115,-1.5(+240),6,-115,5.5,105,0,,,,,,,,,,,,
129,2017/2018,1014,5,V,Washington,1,1,0,2,-105,101,+1.5(-310),5.5,-125,5.5,-119,1,Philadelphia,2,3,3,8,-115,-121,-1.5(+250),5.5,105,5.5,-101
130,2017/2018,1014,6,H,Philadelphia,2,3,3,8,-115,-121,-1.5(+250),5.5,105,5.5,-101,0,,,,,,,,,,,,
131,2017/2018,1014,7,V,St.Louis,0,0,1,1,140,130,+1.5(-230),5.5,-120,5.5,-105,1,TampaBay,0,1,1,2,-160,-150,-1.5(+190),5.5,100,5.5,-115
132,2017/2018,1014,8,H,TampaBay,0,1,1,2,-160,-150,-1.5(+190),5.5,100,5.5,-115,0,,,,,,,,,,,,
133,2017/2018,1014,9,V,Toronto,2,1,0,4,-108,103,+1.5(-265),5.5,-120,5.5,-130,1,Montreal,2,1,0,3,-112,-123,-1.5(+215),5.5,100,5.5,110
134,2017/2018,1014,10,H,Montreal,2,1,0,3,-112,-123,-1.5(+215),5.5,100,5.5,110,0,,,,,,,,,,,,
135,2017/2018,1014,11,V,NewJersey,0,2,1,3,123,140,+1.5(-215),5.5,-135,5.5,-116,1,NYRangers,0,1,1,2,-143,-160,-1.5(+185),5.5,115,5.5,-104
136,2017/2018,1014,12,H,NYRangers,0,1,1,2,-143,-160,-1.5(+185),5.5,115,5.5,-104,0,,,,,,,,,,,,
137,2017/2018,1014,13,V,Columbus,1,1,2,5,130,-109,+1.5(-315),5.5,-115,5.5,-105,1,Minnesota,1,2,1,4,-150,-111,-1.5(+250),5.5,-105,5.5,-115
138,2017/2018,1014,14,H,Minnesota,1,2,1,4,-150,-111,-1.5(+250),5.5,-105,5.5,-115,0,,,,,,,,,,,,
139,2017/2018,1014,15,V,Colorado,0,0,1,1,170,187,+1.5(-160),6,-105,6,100,1,Dallas,0,2,1,3,-200,-217,-1.5(+140),6,-115,6,-120
140,2017/2018,1014,16,H,Dallas,0,2,1,3,-200,-217,-1.5(+140),6,-115,6,-120,0,,,,,,,,,,,,
141,2017/2018,1014,17,V,Nashville,0,1,0,1,110,130,+1.5(-235),5.5,-120,5.5,-110,1,Chicago,0,0,1,2,-130,-150,-1.5(+195),5.5,100,5.5,-110
142,2017/2018,1014,18,H,Chicago,0,0,1,2,-130,-150,-1.5(+195),5.5,100,5.5,-110,0,,,,,,,,,,,,
143,2017/2018,1014,19,V,Boston,1,3,2,6,-135,-128,-1.5(+220),5.5,-110,5.5,-115,1,Arizona,1,0,1,2,115,108,+1.5(-270),5.5,-110,5.5,-105
144,2017/2018,1014,20,H,Arizona,1,0,1,2,115,108,+1.5(-270),5.5,-110,5.5,-105,0,,,,,,,,,,,,
145,2017/2018,1014,21,V,Ottawa,2,1,3,6,170,170,+1.5(-175),5.5,-120,5.5,-115,1,Edmonton,0,0,1,1,-200,-200,-1.5(+155),5.5,100,5.5,-105
146,2017/2018,1014,22,H,Edmonton,0,0,1,1,-200,-200,-1.5(+155),5.5,100,5.5,-105,0,,,,,,,,,,,,
147,2017/2018,1014,23,V,Calgary,1,2,2,5,-105,-117,-1.5(+240),5.5,-110,5.5,-105,1,Vancouver,1,0,1,2,-115,-103,+1.5(-300),5.5,-110,5.5,-115
148,2017/2018,1014,24,H,Vancouver,1,0,1,2,-115,-103,+1.5(-300),5.5,-110,5.5,-115,0,,,,,,,,,,,,
149,2017/2018,1014,25,V,Buffalo,1,0,1,2,145,170,+1.5(-175),5,-140,5.5,110,1,LosAngeles,0,1,3,4,-165,-200,-1.5(+155),5,120,5.5,-130
150,2017/2018,1014,26,H,LosAngeles,0,1,3,4,-165,-200,-1.5(+155),5,120,5.5,-130,0,,,,,,,,,,,,
151,2017/2018,1014,27,V,NYIslanders,1,1,1,3,127,110,+1.5(-260),5.5,-110,5.5,-105,1,SanJose,1,0,0,1,-147,-130,-1.5(+210),5.5,-110,5.5,-115
152,2017/2018,1014,28,H,SanJose,1,0,0,1,-147,-130,-1.5(+210),5.5,-110,5.5,-115,0,,,,,,,,,,,,
153,2017/2018,1015,51,V,Boston,0,0,1,1,-150,-160,-1.5(+180),5.5,-120,6,-115,1,Vegas,0,2,1,3,130,140,+1.5(-210),5.5,100,6,-105
154,2017/2018,1015,52,H,Vegas,0,2,1,3,130,140,+1.5(-210),5.5,100,6,-105,0,,,,,,,,,,,,
155,2017/2018,1015,53,V,Buffalo,1,1,1,3,135,129,+1.5(-230),5.5,-110,5.5,125,1,Anaheim,0,1,0,1,-155,-149,-1.5(+190),5.5,-110,5.5,-145
156,2017/2018,1015,54,H,Anaheim,0,1,0,1,-155,-149,-1.5(+190),5.5,-110,5.5,-145,0,,,,,,,,,,,,
157,2017/2018,1015,55,V,NYIslanders,0,1,1,2,125,118,+1.5(-260),5.5,105,5.5,105,1,LosAngeles,1,1,1,3,-145,-138,-1.5(+210),5.5,-125,5.5,-125
158,2017/2018,1015,56,H,LosAngeles,1,1,1,3,-145,-138,-1.5(+210),5.5,-125,5.5,-125,0,,,,,,,,,,,,
159,2017/2018,1016,1,V,TampaBay,2,0,1,3,-128,-131,-1.5(+210),5.5,-105,5.5,-120,1,Detroit,0,2,0,2,108,111,+1.5(-260),5.5,-115,5.5,100
160,2017/2018,1016,2,H,Detroit,0,2,0,2,108,111,+1.5(-260),5.5,-115,5.5,100,0,,,,,,,,,,,,
161,2017/2018,1017,51,V,Pittsburgh,2,1,1,5,-119,-132,-1.5(+225),6,-110,6,-110,1,NYRangers,0,3,1,4,-101,112,+1.5(-275),6,-110,6,-110
162,2017/2018,1017,52,H,NYRangers,0,3,1,4,-101,112,+1.5(-275),6,-110,6,-110,0,,,,,,,,,,,,
163,2017/2018,1017,53,V,Florida,0,0,1,1,120,113,+1.5(-260),5.5,-115,5.5,-120,1,Philadelphia,0,4,1,5,-140,-133,-1.5(+210),5.5,-105,5.5,100
164,2017/2018,1017,54,H,Philadelphia,0,4,1,5,-140,-133,-1.5(+210),5.5,-105,5.5,100,0,,,,,,,,,,,,
165,2017/2018,1017,55,V,Toronto,0,0,2,2,130,110,+1.5(-275),6,-119,6,-125,1,Washington,0,0,0,0,-150,-130,-1.5(+225),6,-101,6,105
166,2017/2018,1017,56,H,Washington,0,0,0,0,-150,-130,-1.5(+225),6,-101,6,105,0,,,,,,,,,,,,
